Geneset.Type	Geneset.ID	N.Geneset.Genes
Gene Ontology Biological Process	GO:0000002	27
Gene Ontology Biological Process	GO:0000003	1365
Gene Ontology Biological Process	GO:0000018	67
Gene Ontology Biological Process	GO:0000022	11
Gene Ontology Biological Process	GO:0000027	23
Gene Ontology Biological Process	GO:0000028	17
Gene Ontology Biological Process	GO:0000038	29
Gene Ontology Biological Process	GO:0000041	109
Gene Ontology Biological Process	GO:0000042	19
Gene Ontology Biological Process	GO:0000045	71
Gene Ontology Biological Process	GO:0000050	11
Gene Ontology Biological Process	GO:0000054	12
Gene Ontology Biological Process	GO:0000060	47
Gene Ontology Biological Process	GO:0000070	134
Gene Ontology Biological Process	GO:0000075	221
Gene Ontology Biological Process	GO:0000076	17
Gene Ontology Biological Process	GO:0000077	151
Gene Ontology Biological Process	GO:0000079	83
Gene Ontology Biological Process	GO:0000082	241
Gene Ontology Biological Process	GO:0000083	27
Gene Ontology Biological Process	GO:0000086	233
Gene Ontology Biological Process	GO:0000096	39
Gene Ontology Biological Process	GO:0000097	17
Gene Ontology Biological Process	GO:0000098	10
Gene Ontology Biological Process	GO:0000122	751
Gene Ontology Biological Process	GO:0000132	16
Gene Ontology Biological Process	GO:0000154	35
Gene Ontology Biological Process	GO:0000165	860
Gene Ontology Biological Process	GO:0000183	39
Gene Ontology Biological Process	GO:0000184	120
Gene Ontology Biological Process	GO:0000185	11
Gene Ontology Biological Process	GO:0000186	52
Gene Ontology Biological Process	GO:0000187	147
Gene Ontology Biological Process	GO:0000188	26
Gene Ontology Biological Process	GO:0000209	287
Gene Ontology Biological Process	GO:0000212	13
Gene Ontology Biological Process	GO:0000226	443
Gene Ontology Biological Process	GO:0000244	12
Gene Ontology Biological Process	GO:0000245	55
Gene Ontology Biological Process	GO:0000266	39
Gene Ontology Biological Process	GO:0000271	69
Gene Ontology Biological Process	GO:0000272	29
Gene Ontology Biological Process	GO:0000278	984
Gene Ontology Biological Process	GO:0000280	591
Gene Ontology Biological Process	GO:0000281	36
Gene Ontology Biological Process	GO:0000288	74
Gene Ontology Biological Process	GO:0000289	35
Gene Ontology Biological Process	GO:0000290	10
Gene Ontology Biological Process	GO:0000291	35
Gene Ontology Biological Process	GO:0000301	24
Gene Ontology Biological Process	GO:0000302	228
Gene Ontology Biological Process	GO:0000303	28
Gene Ontology Biological Process	GO:0000305	31
Gene Ontology Biological Process	GO:0000338	10
Gene Ontology Biological Process	GO:0000375	317
Gene Ontology Biological Process	GO:0000377	314
Gene Ontology Biological Process	GO:0000380	48
Gene Ontology Biological Process	GO:0000381	37
Gene Ontology Biological Process	GO:0000387	39
Gene Ontology Biological Process	GO:0000394	18
Gene Ontology Biological Process	GO:0000398	314
Gene Ontology Biological Process	GO:0000413	39
Gene Ontology Biological Process	GO:0000422	79
Gene Ontology Biological Process	GO:0000423	19
Gene Ontology Biological Process	GO:0000460	29
Gene Ontology Biological Process	GO:0000462	36
Gene Ontology Biological Process	GO:0000466	18
Gene Ontology Biological Process	GO:0000469	23
Gene Ontology Biological Process	GO:0000470	22
Gene Ontology Biological Process	GO:0000478	14
Gene Ontology Biological Process	GO:0000479	14
Gene Ontology Biological Process	GO:0000578	36
Gene Ontology Biological Process	GO:0000712	14
Gene Ontology Biological Process	GO:0000715	23
Gene Ontology Biological Process	GO:0000717	22
Gene Ontology Biological Process	GO:0000722	36
Gene Ontology Biological Process	GO:0000723	149
Gene Ontology Biological Process	GO:0000724	101
Gene Ontology Biological Process	GO:0000725	102
Gene Ontology Biological Process	GO:0000726	78
Gene Ontology Biological Process	GO:0000729	24
Gene Ontology Biological Process	GO:0000730	10
Gene Ontology Biological Process	GO:0000731	73
Gene Ontology Biological Process	GO:0000732	26
Gene Ontology Biological Process	GO:0000737	23
Gene Ontology Biological Process	GO:0000768	48
Gene Ontology Biological Process	GO:0000819	218
Gene Ontology Biological Process	GO:0000902	899
Gene Ontology Biological Process	GO:0000904	646
Gene Ontology Biological Process	GO:0000910	139
Gene Ontology Biological Process	GO:0000920	17
Gene Ontology Biological Process	GO:0000956	203
Gene Ontology Biological Process	GO:0000959	33
Gene Ontology Biological Process	GO:0000963	15
Gene Ontology Biological Process	GO:0001101	319
Gene Ontology Biological Process	GO:0001325	15
Gene Ontology Biological Process	GO:0001501	485
Gene Ontology Biological Process	GO:0001502	21
Gene Ontology Biological Process	GO:0001503	373
Gene Ontology Biological Process	GO:0001504	23
Gene Ontology Biological Process	GO:0001505	184
Gene Ontology Biological Process	GO:0001508	133
Gene Ontology Biological Process	GO:0001510	62
Gene Ontology Biological Process	GO:0001514	10
Gene Ontology Biological Process	GO:0001516	23
Gene Ontology Biological Process	GO:0001522	18
Gene Ontology Biological Process	GO:0001523	90
Gene Ontology Biological Process	GO:0001525	411
