GO	Gm12878.Atf3	H1hesc.Atf3	K562.Atf3	Gm12878.Bcl11a	H1hesc.Bcl11a	Gm12878.Bcl3	K562.Bcl3	Gm12878.Cfos	K562.Cfos	H1hesc.Cjun	K562.Cjun	Gm12878.Cmyc	H1hesc.Cmyc	K562.Cmyc	H1hesc.Cebpb	K562.Cebpb	Gm12878.Ctcf	H1hesc.Ctcf	K562.Ctcf	Gm12878.E2f4	K562.E2f4	Gm12878.Egr1	H1hesc.Egr1	K562.Egr1	Gm12878.Ets1	K562.Ets1	Gm12878.Gabp	H1hesc.Gabp	K562.Gabp	Gm12878.Jund	H1hesc.Jund	K562.Jund	Gm12878.Max	H1hesc.Max	K562.Max	Gm12878.Mef2a	K562.Mef2a	Gm12878.Nfya	K562.Nfya	Gm12878.Nfyb	K562.Nfyb	Gm12878.Nrf1	H1hesc.Nrf1	K562.Nrf1	Gm12878.Nrsf	H1hesc.Nrsf	K562.Nrsf	Gm12878.P300	H1hesc.P300	K562.P300	Gm12878.Pu1	K562.Pu1	Gm12878.Rad21	H1hesc.Rad21	K562.Rad21	Gm12878.Rxra	H1hesc.Rxra	H1hesc.Sin3ak20	K562.Sin3ak20	Gm12878.Six5	H1hesc.Six5	K562.Six5	Gm12878.Sp1	H1hesc.Sp1	K562.Sp1	Gm12878.Srf	H1hesc.Srf	K562.Srf	Gm12878.Taf1	H1hesc.Taf1	K562.Taf1	Gm12878.Tbp	H1hesc.Tbp	K562.Tbp	Gm12878.Tcf12	H1hesc.Tcf12	Gm12878.Usf1	H1hesc.Usf1	K562.Usf1	Gm12878.Usf2	H1hesc.Usf2	K562.Usf2	Gm12878.Yy1	H1hesc.Yy1	K562.Yy1	Gm12878.Zbtb33	K562.Zbtb33
GO:0051172 negative regulation of nitrogen compound metabolic process	-0.149354251509108	0.328839870802171	3.45654330393194	-1.24224281520128	2.24330802276937	-0.950536464434337	0.0956460665356239	NA	NA	-0.430246571032351	0.654571133868959	0.708605412320321	0.114656226772416	8.55881444091732	0.468811747093963	4.8889700861642	1.22954882568516	0.64851890951215	0.950107585371389	NA	NA	15.4606401384038	14.0454425032746	20.5146112750047	NA	NA	-0.129787310564481	0.123206483622128	3.1036798436593	-0.0458054805868499	0.897728099041592	2.83281525570293	NA	NA	NA	1.01541105427572	3.67695567726048	NA	NA	NA	NA	NA	NA	NA	0.124215830641682	-0.994005017223809	2.38177965059931	-0.342637642083504	7.42832257534347	4.27111621094232	-1.10997278314461	1.72567091287929	NA	NA	NA	0.41132720437663	-0.00207265050187415	9.99025042992088	12.4607125728093	1.32525575659136	1.49673539515933	1.23286165985515	NA	NA	NA	2.25364594684011	0.525346408500631	1.15149569690019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.671311159048	10.5771570482593	13.9329495254282	1.13743704743034	3.81551536375603
GO:0006366 transcription from RNA polymerase II promoter	0.491749539206325	0.325507370036515	1.15192941292009	-0.578786200935522	0.361718430750863	0.487532825283666	-0.0748171717234418	0.0645787109647453	1.72324841628954	-0.357767911769473	0.713076634977481	0.403717392026606	0.0811081773338655	2.61390882514775	2.37459251544571	3.8808201087725	1.06238863135294	1.48215042168927	1.71200268234554	0.586811698146402	8.44988628737134	20.9489986890967	10.8444260810249	22.6465672822431	-0.418459843242276	5.43996750936576	0.306780227566543	0.16267640881017	2.31671346233548	0.115368142182645	1.6021699228126	3.37093688315644	6.82888263352974	1.29239201529588	9.55065261279503	1.28872918287148	1.03582753793467	1.79526340495427	1.69111226382476	NA	NA	0.742291792812889	0.487931968315167	0.185806596859369	0.462979263374077	-0.299704243255134	3.02304932486099	0.0162554347102565	6.3539387595462	3.12670565372317	-1.03922959115053	2.98102060434635	2.44880344177205	4.58550074049767	-0.0975834995919212	0.407531045176295	0.241875377924686	7.78983124228439	5.90749266185948	-0.129779454153903	0.276780255673363	0.282860874203452	4.97952202141744	12.2166274981709	3.41758634812619	4.13857794106353	1.29229822066746	1.7066778129678	18.0898185318706	16.0232876740896	21.0837150800851	2.10116085945536	8.26925870875795	10.1897964256678	3.8477147500919	3.63669428757835	3.34374745314507	9.08640921200777	2.75877453923875	3.90599371442411	3.6006250369193	1.13335899695124	16.6271329190485	9.10353231922247	11.9431423507777	NA	NA
GO:0006325 chromatin organization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0530523245734873	0.168450365717947	0.171972654084353	NA	NA	0.601992598510683	-0.0686933652532909	0.39931736860425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.157189357840686	-0.958470844522176	0.186928860511708	-2.47110562159015	0.960473796312389	-3.00869289983093	0.0185646407026883	0.126741699459005	NA	NA	NA	NA	NA	1.83927490191534	9.1196129337577	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.55858010389648	16.7596698090793	21.8582270203928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010629 negative regulation of gene expression	-0.0885333846410618	-0.0107356806839756	1.977651794634	-1.50034076023797	2.38316948855503	-2.15330967294502	0.15924680142763	NA	NA	-0.675296592170613	1.38268154612646	0.854508054869179	0.131034380776716	5.55994089199898	-0.484733298405497	3.74904181061007	0.894649217370481	-0.127977310507562	-0.349023220503016	NA	NA	14.2392412517732	12.2782622741971	20.5662379765504	NA	NA	-0.383204263809378	0.167710802027293	2.95843008535831	-0.0459991845238367	1.20101057760407	2.37287567432501	6.9418545310351	3.29751980877331	12.2844098277014	-0.969033860198371	3.06456366347864	NA	NA	NA	NA	NA	NA	NA	0.508531400186186	-0.28313377082705	3.11918796765165	-1.52350294383475	7.90617256229044	2.10504090133463	-1.01189919891247	1.98569928726695	NA	NA	NA	0.464238726542074	-0.113907495815206	10.8490024233645	11.2372312305696	1.17201430454967	1.1323018318885	0.828272098115488	NA	NA	NA	2.68971663943054	0.888474471164626	1.88784295269945	11.6824544320182	31.8374511512444	28.0855953108069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8389176451601	10.7142245566069	11.4903382771641	0.927593899236255	3.66662717203592
GO:2000113 negative regulation of cellular macromolecule biosynthetic process	-0.0219923051274081	0.231084709688472	2.42599527593401	-1.68111969076034	2.41916855943688	-1.45971717227304	0.83364337077363	NA	NA	-0.56167701471962	0.868242429379017	0.898611183677835	0.144463069342915	6.63057702982177	0.0127464437082164	3.00955980511874	0.898254878485902	-0.389598034513683	0.0133140365150122	NA	NA	15.6154115521869	13.3722684044215	21.8106816436723	NA	NA	-0.148369324741881	0.0288495206513934	2.9577811860428	-0.0219743968319826	0.828269820530723	2.16477781485607	NA	NA	NA	-0.0457142484144403	3.36375385692737	NA	NA	NA	NA	NA	NA	NA	0.387970965297147	-0.621482054101931	2.98203114373921	-0.877735554400498	7.66008050528039	3.06339864190296	-0.95769124234087	1.51616690750595	NA	NA	NA	0.160869374683153	-0.135056063055444	10.5951656743482	11.7866304635213	1.22753609385477	1.53686558149095	0.908822973656426	NA	NA	NA	2.32964918638957	0.607334729097699	1.46726158750404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.1695897534302	11.3863552192571	11.5978488739159	1.19955897951439	4.36310476649782
GO:0045934 negative regulation of nucleobase-containing compound metabolic process	-0.0676110217278562	0.119106581914107	2.14850303921965	-1.15395896852255	1.21555671597292	-0.882198205699565	0.631420770183844	NA	NA	-0.284245632813323	0.899711873194962	0.701990390233021	0.122969217397441	4.92060796988945	0.642881584496936	3.8504947333989	1.49308101163945	1.0943387948001	1.38756591012192	NA	NA	13.7132987008751	13.3936562689018	16.687058624327	NA	NA	-0.127080572143485	0.282671092254729	1.89868584246248	-0.062314332421736	0.430426545997698	2.29192756267966	NA	NA	NA	0.593194247395253	3.78168342039101	NA	NA	NA	NA	NA	NA	NA	0.356977152232357	-0.787033663960034	2.31117515657918	-0.706903410689513	5.83713726003335	3.93168102153049	-0.82777131787086	1.92543753368431	NA	NA	NA	0.58976209581252	-0.136340395455196	7.31676903901596	9.14549361782754	0.951407627517239	1.26416058403246	0.838042519982663	NA	NA	NA	1.90506914205682	0.288648359632703	1.38851147526256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.142674478512	9.13369541720498	11.1338480596258	1.11648901446786	3.50315433232429
GO:0016569 chromatin modification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.517381496828701	-0.259955485948498	0.295340118743049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0571433268199677	0.21614315040701	0.0419226174728459	-0.383813816345292	1.16281688515517	-2.80069294012547	-0.375049039591855	0.160063364813766	NA	NA	NA	NA	NA	1.75591260969879	1.21893133863368	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.34952599237413	9.04111926130881	13.8575609802078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010558 negative regulation of macromolecule biosynthetic process	-0.0467643381500205	0.165010059208295	2.46805127515588	-1.62687168134905	2.28306528903453	-1.54769747124591	0.378349732833211	NA	NA	-0.4778678417212	0.783283497064104	0.753443892788155	0.132536743032134	7.33168911844726	0.461434167660572	2.99491468163103	1.5506199723086	-0.103249362011613	0.838222747871058	NA	NA	15.7984633549859	12.2849521613106	22.128638908711	NA	NA	-0.114388415916908	0.00220574165064782	2.23137306512354	-0.0275109673923051	1.2019500075932	2.10987969491473	NA	NA	NA	0.153446340259736	3.62172364670422	NA	NA	NA	NA	NA	NA	NA	0.293317093211938	-0.550563917924887	2.61048712035676	-1.02380348127669	7.14000177693448	2.44017020206665	-1.05411049018873	1.03480816478644	NA	NA	NA	0.0498858006372161	-0.175397693316356	9.84195299895326	11.5173641998202	1.21630696103458	1.50157082236296	0.983425092780918	NA	NA	NA	2.26094484191384	0.485077263352367	1.21799144642449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.2565735513487	11.1319461396882	11.295570901266	1.29056454841308	4.19098244824479
GO:0031327 negative regulation of cellular biosynthetic process	-0.0757057346578645	0.204009006222061	3.33570376796891	-1.50117564391604	2.18593926400559	-0.776915187575562	0.562565987632079	NA	NA	-0.406566065847642	0.806851085428886	0.666773003661237	0.126966539809192	6.81935867823044	0.655836155184787	2.76481130553242	1.35583853590942	0.0453899245102579	0.625354971503537	NA	NA	14.350869311724	14.0259606160701	22.1706796560404	NA	NA	0.0113536315934269	0.0982946845119986	2.92318843107284	-0.0570243236407624	0.932060453987722	2.60238634958389	NA	NA	NA	0.723145560758425	3.40711480981402	NA	NA	NA	NA	NA	NA	NA	0.950860770482962	-0.386931328916646	2.62165225287728	-0.662826547061071	7.01916670697991	2.30101720849489	-0.746234810215301	1.62961978628539	NA	NA	NA	0.304666127415087	-0.00609477137275636	9.6834182228163	10.9780512663488	1.12734698509532	1.50701930008401	0.861509708847074	NA	NA	NA	1.8174079087115	0.419819892050657	1.09847513384284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5787494958396	12.1640494025059	10.9971873979532	1.18350287322806	3.91765028258779
GO:0009890 negative regulation of biosynthetic process	-0.105033862390237	0.189121784482486	3.21891261038331	-1.48862705037223	2.1745952110313	-1.14616171229591	0.336826412790779	NA	NA	-0.380884671034486	0.756795891668401	0.579699645517158	0.127170807271061	7.41859993680715	0.5965306358661	3.03881374839684	1.4219616578403	0.0189828929201096	0.857400184458647	NA	NA	14.6828005434514	13.8388489171588	22.1334076961831	NA	NA	0.0598969865467557	0.084081399470645	2.9127505774022	-0.0529498129914832	0.973206650781069	2.50225550630991	NA	NA	NA	0.81241152111253	3.76660996796847	NA	NA	NA	NA	NA	NA	NA	0.998770632667101	-0.54487749774205	2.36912053756003	-0.634318184925874	7.01969978358721	2.59133906123348	-0.840967686084829	1.6043994311251	NA	NA	NA	0.253485284271234	-0.0500034809421824	9.54452116965256	11.7139908925433	1.08171885581093	1.43600293086747	0.905887602116424	NA	NA	NA	2.02451439355878	0.399568217104223	1.03385306306616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2784082262948	11.8622973188609	10.9465227599051	1.1433799270252	3.81779533285774
