GO	Gm12878.Atf3	H1hesc.Atf3	K562.Atf3	Gm12878.Bcl11a	H1hesc.Bcl11a	Gm12878.Bcl3	K562.Bcl3	Gm12878.Cfos	K562.Cfos	H1hesc.Cjun	K562.Cjun	Gm12878.Cmyc	H1hesc.Cmyc	K562.Cmyc	H1hesc.Cebpb	K562.Cebpb	Gm12878.Ctcf	H1hesc.Ctcf	K562.Ctcf	Gm12878.E2f4	K562.E2f4	Gm12878.Egr1	H1hesc.Egr1	K562.Egr1	Gm12878.Ets1	K562.Ets1	Gm12878.Gabp	H1hesc.Gabp	K562.Gabp	Gm12878.Jund	H1hesc.Jund	K562.Jund	Gm12878.Max	H1hesc.Max	K562.Max	Gm12878.Mef2a	K562.Mef2a	Gm12878.Nfya	K562.Nfya	Gm12878.Nfyb	K562.Nfyb	Gm12878.Nrf1	H1hesc.Nrf1	K562.Nrf1	Gm12878.Nrsf	H1hesc.Nrsf	K562.Nrsf	Gm12878.P300	H1hesc.P300	K562.P300	Gm12878.Pu1	K562.Pu1	Gm12878.Rad21	H1hesc.Rad21	K562.Rad21	Gm12878.Rxra	H1hesc.Rxra	H1hesc.Sin3ak20	K562.Sin3ak20	Gm12878.Six5	H1hesc.Six5	K562.Six5	Gm12878.Sp1	H1hesc.Sp1	K562.Sp1	Gm12878.Srf	H1hesc.Srf	K562.Srf	Gm12878.Taf1	H1hesc.Taf1	K562.Taf1	Gm12878.Tbp	H1hesc.Tbp	K562.Tbp	Gm12878.Tcf12	H1hesc.Tcf12	Gm12878.Usf1	H1hesc.Usf1	K562.Usf1	Gm12878.Usf2	H1hesc.Usf2	K562.Usf2	Gm12878.Yy1	H1hesc.Yy1	K562.Yy1	Gm12878.Zbtb33	K562.Zbtb33
GO:0051172 negative regulation of nitrogen compound metabolic process	0.159181450959146	0.293736086142963	8.8851440872642	1.91593188165635	1.45473937629194	-0.458734498392671	1.17934058271778	NA	NA	0.496581019545269	3.24210067661503	2.17033263093424	-0.0589539959530658	11.5965434024942	2.47933840020348	11.4736260292213	2.58169635285398	3.0158601252041	2.0934545691414	NA	NA	16.3281240966859	23.6156597261338	30.7363662785337	NA	NA	1.56602953700892	0.144839922688499	6.35027533334513	-0.185547738986593	3.22844613524677	7.38340571997242	NA	NA	NA	1.84511030103472	6.69400838151535	NA	NA	NA	NA	NA	NA	NA	-2.14464318428703	-3.13379356566955	6.00905829788458	3.33922605659822	7.58812681499401	7.83042603917737	1.5702892081299	7.47760582537129	NA	NA	NA	0.169665739509668	0.230407044318822	8.07154120008858	17.1725372635571	1.74415065276333	1.85854667155701	0.978086839329342	NA	NA	NA	4.97287313430568	-1.19493886388413	2.68735196961767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3099200171118	14.5290322803938	21.1745467262832	1.19591306943933	3.06287565724761
GO:0006366 transcription from RNA polymerase II promoter	-0.22658571636829	0.946899315454231	4.7115800925773	2.08290257353336	0.47973069039761	1.0737489626039	0.772675761064481	-0.110707437152371	2.35365143737191	-0.259426374016216	2.01422803024057	1.75961390745121	-0.409339478948363	8.09816094165509	6.77324854487697	10.1069899308021	1.32190376460027	1.54846480019271	1.05650655973595	2.02391525477343	12.8840572730331	22.793251744817	25.5221696389264	25.9275557591185	-0.429068435499825	7.48570634219565	1.61775667354876	0.282609660571279	5.91814701433617	0.828125944777317	2.98290823373203	4.24739667139703	9.91559992478098	6.01261780610596	13.6940835922998	3.19144763687371	3.39228714965692	2.58109447455368	1.68571773397428	NA	NA	2.5155285477733	2.93240573504805	0.758238356902421	0.00168069315917321	-1.37407240525846	5.27030378156163	2.25150037035831	5.10234929994576	6.71542184396909	1.72829510069519	7.26112071530501	1.66354650646947	4.56238683780724	0.00930518375180633	0.655948520813753	-0.0501616892469234	7.32088512457504	10.7781074005762	0.576788906546618	0.81696464586816	0.290108081911418	6.00091877848877	17.8975642083244	5.81188591721388	5.9221112666821	-0.966609854479593	2.13019591753386	14.1570909806752	17.8069770425411	28.4005140659799	-1.31887072165555	15.5802137981444	15.1759400223932	4.69448092214074	5.70992902639038	-0.389559904715563	5.24472785906412	5.50001914179848	1.64332308271623	3.02688721129874	-0.74311037500335	11.9933392294177	11.8083106146672	20.6434216031136	NA	NA
GO:0006325 chromatin organization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.603907474855698	-0.134392291665898	1.31569726979468	NA	NA	0.241237570597228	-0.278298894318933	0.213070758018221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.141498845930163	0.40838519673417	0.66187084402102	-1.40907575280652	-0.346076583020009	1.68090523810073	1.38825383745078	2.4346360564626	NA	NA	NA	NA	NA	0.789826799409423	11.2538989116393	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.283755134452309	16.4536613640871	17.6523342632376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010629 negative regulation of gene expression	0.372363450148433	0.0879005169776521	6.09048539266077	1.68062717341493	1.97451835343147	-1.72859483139937	1.83635501984279	NA	NA	0.342740798644394	2.2276001319684	2.28058292232964	-0.199421913512535	7.38735629262158	2.43234168439369	11.0534098720084	2.13672230308344	2.16496787959233	1.43770331860704	NA	NA	14.7198488226247	22.2342411088488	30.9084394483958	NA	NA	0.588777800120689	0.176972447267921	5.25177155029697	-0.174591894285141	2.81036301823577	6.52326195015926	5.45908874318437	8.61379954274163	14.7250977402479	0.0582725000283318	6.31222874367134	NA	NA	NA	NA	NA	NA	NA	-1.05912665979747	-2.14595769663226	5.74900139371173	1.82308024565872	5.76713352733709	7.20984148442994	2.25436824517562	8.0153339841013	NA	NA	NA	0.900089562278765	-0.365431336859978	8.2103678208966	15.4304189265241	1.57597072873598	1.83062141333122	0.611123627731512	NA	NA	NA	4.91944585584249	-1.24662652431897	3.35060648215926	9.40455869252975	32.6284794882316	30.7671586655782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3125952592438	13.2783623496882	15.9873114291146	0.620649436899065	3.03441549305113
GO:2000113 negative regulation of cellular macromolecule biosynthetic process	0.148917284457564	0.350187664634985	7.31184150606232	1.51366151704558	2.07717626966455	-1.59948833203145	0.414899155027833	NA	NA	0.476770753427336	2.32323007760943	2.48725246859345	-0.202135964870409	9.79448128251955	2.55223971171642	10.4942458998055	2.70208457010853	2.46688209556036	1.96301972049337	NA	NA	17.3492208610288	24.2293785185574	30.1813283898305	NA	NA	1.43688149701798	0.223987480028137	5.20716329448312	-0.0620577652467932	3.15975091653474	6.62574391100892	NA	NA	NA	1.37784282444743	6.07590114357364	NA	NA	NA	NA	NA	NA	NA	-1.44447072297579	-2.97406745151596	5.75509258707462	3.38152773961796	6.83888565246513	8.07341162583247	1.75817533392438	6.68767467898361	NA	NA	NA	0.577644314473584	-0.351820923853983	8.70192252367553	16.1032551987969	1.87180633129312	1.78941531130869	0.945764642659831	NA	NA	NA	5.0340880223349	-1.09815261618285	2.95402665124718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3838968970481	13.2458714031206	16.8023304024306	1.03410660216389	3.56734557518943
GO:0045934 negative regulation of nucleobase-containing compound metabolic process	0.154671726742534	-0.0557126615291301	6.84057687125359	1.98938941543161	1.05489033349488	-0.848385008234777	1.34811322062379	NA	NA	-0.153426924425964	3.07362270286	2.01414918951232	-0.0315182743421373	9.47083362199964	2.92048791218263	8.45681158859684	2.96288384735689	3.14173067735743	1.94144193472588	NA	NA	14.2911107278975	22.8433306014485	25.4480182554813	NA	NA	1.24419399530882	0.423662537225696	4.91477542435075	-0.00948100751809203	1.73453101795487	6.62890846999592	NA	NA	NA	1.59337077969558	5.82314932368072	NA	NA	NA	NA	NA	NA	NA	-1.02623846167671	-2.95384052104616	4.8146988462477	3.30463362584662	6.23051309074052	7.30939627303325	2.12731202093406	8.02466061936084	NA	NA	NA	0.517730489801482	0.0443504295671967	5.57942270551291	14.5880236441506	1.45573847303962	1.73722179626976	0.647343393012189	NA	NA	NA	4.80899816506189	-1.19084278564062	2.4735504065341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2868939334871	12.033330091543	19.1962776855272	0.677424565875289	2.34072270565567
GO:0016569 chromatin modification	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0996429265736071	-0.147018633132363	-0.439166690015145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.113153635803331	1.18656808516562	0.431094486281366	-0.246295156506844	-0.173986177568664	0.789156319496224	0.997915918707684	2.29170873668304	NA	NA	NA	NA	NA	0.990926338728004	3.83346075848653	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09025021392219	10.208319569436	12.491109132512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010558 negative regulation of macromolecule biosynthetic process	0.286789120221178	0.347728223520132	8.29689569029624	1.78654507915037	1.82841138041077	-1.38212167580697	0.713763223369452	NA	NA	0.417341401107114	3.42919624909299	2.12875037675678	-0.184019518545727	10.8319414811457	2.8345385063214	11.0599619807902	2.55918857229512	2.35855300541786	1.80010251703612	NA	NA	17.2433865825251	22.1928428566863	29.3335700987384	NA	NA	1.29937612785054	0.0693198865143829	5.16865537214477	-0.107945098194244	3.43265265793344	7.53605837411272	NA	NA	NA	1.43809672065036	7.14016729676364	NA	NA	NA	NA	NA	NA	NA	-1.38053046490842	-3.08615863217676	5.66485361662638	2.92131734503261	7.05985506410032	7.47564685059238	2.36408688418015	6.77859679912287	NA	NA	NA	0.353346457335441	-0.298789928903682	7.78916302083045	15.9891303784064	1.7321374605676	1.7791307727196	0.913073761722405	NA	NA	NA	4.85121961928954	-1.08643785899984	3.42731737263967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5979079401837	13.2134373098385	16.782134537233	1.10516991554213	3.24865247416939
GO:0031327 negative regulation of cellular biosynthetic process	0.0378421757257218	0.454487413402709	8.56836219521169	1.73284765202354	1.96495201939699	-0.55946179435105	0.876776905399091	NA	NA	0.336799292976533	3.1258801310355	1.89451517800225	-0.104848072997522	10.1953208273618	2.58105584800029	11.3707425154794	2.98812958822659	2.9176403235397	2.10997922525997	NA	NA	16.4689991855507	23.6179725542378	29.9290265464988	NA	NA	1.30059379868847	0.238232982696519	6.05119569056411	-0.126193170825803	3.86838097497797	7.72811048908774	NA	NA	NA	1.33248628091965	6.27771955213721	NA	NA	NA	NA	NA	NA	NA	-1.12655185598103	-2.88147088073775	6.07550704726779	2.92999354865712	6.78696172910555	7.4107837673291	2.24969282021495	7.15132746364541	NA	NA	NA	0.774883063952292	0.0888483427119348	7.18328833407018	15.1843421870985	2.1093509359201	2.16519694399851	1.02534158707987	NA	NA	NA	4.28956233739847	-0.931661542157667	2.92265943702305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8821548146262	14.5947079791307	17.8795702733309	1.0101308276954	3.44803593933494
GO:0009890 negative regulation of biosynthetic process	0.16957642695866	0.452839965904831	8.74808781919416	1.75986238551118	1.91368972085404	-0.260900155270419	0.829474773241093	NA	NA	0.33703609138339	3.38262007915302	1.85789882273657	-0.104023370920924	10.5905335648101	2.20153222155753	11.6641792236507	2.76021328427208	2.88382646662688	1.82389315588473	NA	NA	16.820346187002	23.2089923626558	30.0816327956933	NA	NA	1.28476989237773	0.201976298508745	6.24966113099506	-0.135727394720381	3.70766264753283	7.79068798451904	NA	NA	NA	1.45413976357275	6.55029014857011	NA	NA	NA	NA	NA	NA	NA	-1.24231224888273	-3.22820610356467	5.93099252916816	2.88638675851476	6.54594637714346	7.37826502092868	2.1651013151667	7.38602629720571	NA	NA	NA	0.640524811915514	0.0616369941481859	7.00231430780304	15.7338780240253	2.0166925317821	2.06360442521303	1.03249830457469	NA	NA	NA	4.37285564702511	-0.989309321900738	3.12916788189149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8830794288843	13.8989770257516	17.6352285354968	1.18635067109528	3.32828327244746
