Description	Alu-intron	Alu-nearest_tss	Alu-5kb_outside_upstream	Alu-5kb	L1-intron	L1-nearest_tss	L1-5kb_outside_upstream	L1-5kb
7-methylguanosine mRNA capping	1.917888576	1.395478365	0.143734493	2.402975127	0.701732126	0.051998649	-0.414269589	0.306512398
7-methylguanosine RNA capping	1.935208883	1.442068902	0.1362859	2.545124876	0.524275493	0.059587005	-0.396573763	0.197534025
actin filament bundle assembly	0.043273575	0.678954753	1.154672377	-0.041231585	-2.246062029	-3.539250217	-0.080066672	-3.33674671
actin filament bundle organization	0.068768599	0.630931562	1.071362077	-0.05527155	-1.992008131	-3.376086695	-0.090045629	-3.155421001
actin filament organization	0.248336335	1.371071395	2.062477162	0.131527399	-2.765117111	-5.440900628	-0.3152415	-3.696948294
action potential	-0.933586479	-0.138978094	-0.462579633	-1.685589107	-2.455082217	-2.388898619	-0.645804701	-2.39253379
adaptive immune response	-2.010723306	-1.334613442	-1.66581283	-0.581385202	1.048387839	0.840141923	-0.000724296	2.459065513
adenylate cyclase-activating G-protein coupled receptor signaling pathway	-3.146171882	-4.685170517	-3.25055412	-7.505288944	-1.187573089	0.755627285	0.499238573	-0.134973487
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	-4.054996449	-0.976839013	-0.228048648	-4.704423956	-1.316789691	-0.293656078	0.212460808	-2.537426519
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	-8.153209065	-5.979601328	-3.461423527	-12.41067971	-1.993726844	0.177022408	0.353216853	-1.380084386
adherens junction organization	-0.111097541	1.35589498	0.838575305	-0.566375969	-2.48948055	-1.737713816	-0.188387242	-1.669789741
adrenal gland development	-0.517060335	-0.317094749	-0.100368066	-1.422950206	-1.935671544	-1.546755404	-0.279904613	-1.550552046
adult behavior	-0.474051118	-0.079564768	-0.01910481	-2.838847759	-1.963129043	-1.264582278	-0.08316823	-1.319103599
ameboidal-type cell migration	-2.130866649	0.020531651	0.317801924	-3.263747129	-7.512005051	-7.511204836	-2.341937273	-5.102790877
amide transport	-5.255363643	-2.605146186	-1.228729278	-6.333071427	-1.793371202	-1.339701492	-0.247576846	-2.812175056
amine transport	-3.032921998	-2.620458436	-1.381481862	-3.250922371	-0.717224007	-0.190614404	0.016740909	-0.806072664
aminoglycan biosynthetic process	-2.22210164	-0.320980723	-0.193156079	-3.069362971	-2.726310399	-1.674684131	-0.323228656	-2.506783935
aminoglycan metabolic process	-3.694524932	-0.963714116	-0.341550119	-3.480204076	-2.437112116	-1.33360457	-0.26934534	-1.131537602
anaphase-promoting complex-dependent catabolic process	1.391041312	1.69575695	1.476392236	3.907309484	0.924415189	0.684068043	0.169580505	0.629333799
angiogenesis	-5.765185422	-0.973931025	-0.270929103	-5.660261129	-14.09252994	-10.55925135	-4.459629802	-10.78135694
animal organ formation	-3.261041589	-0.240576082	-0.016752552	-6.676932811	-4.975855924	-1.23290746	-0.206433628	-7.359818337
anion transport	-5.500899846	-2.106432467	-1.757511497	-2.293495921	-1.076204388	-1.131442452	0.176875025	-0.647922117
anterior/posterior pattern specification	-2.732670655	-1.275645271	0.465612176	-12.75646749	-4.656863833	-3.81802312	-0.848527019	-5.867275702
antigen processing and presentation of exogenous antigen	0.666682286	0.255410407	0.002543662	1.521465699	1.323727817	1.4998944	0.740379398	0.378128995
aorta development	-1.178766229	-0.208185713	-0.077035866	-2.619608925	-2.879247917	-2.407140095	-1.255699868	-2.612060673
aorta morphogenesis	-2.282173619	-0.707283944	-0.299592064	-4.121295459	-2.490374259	-2.532718141	-0.767168047	-2.956989504
apoptotic cell clearance	-0.14421982	-0.17227584	-0.046268599	-0.129964469	-1.5884168	-1.570824027	-0.070012559	-2.011905801
apoptotic mitochondrial changes	0.894373518	2.416969432	1.320297797	2.186079288	-0.218702672	-0.458281343	-0.135492319	-0.156480049
apoptotic process involved in development	-1.243328281	-0.310334153	-0.078612581	-3.096693229	-3.209906336	-0.78938174	-0.265518844	-2.303966265
