gene_id	length	log10_length	num_peaks	peak
26053	2498619	6.39770003811426	15	1
50863	1283497	6.10839485790425	14	1
54715	2394027	6.37912904410084	13	1
64131	1034311	6.01465114347345	12	1
2534	309108	5.49011024515032	10	1
2895	2039478	6.30951902491169	10	1
4774	954879	5.97994834230453	10	1
5015	310866	5.49257322503499	10	1
22903	1181736	6.0725204659284	10	1
288	735167	5.86638600430902	9	1
773	415100	5.61815273337852	9	1
3351	1397462	6.14534000731718	9	1
6595	857589	5.93327920183804	9	1
6925	732364	5.86472698802506	9	1
10123	450640	5.65382973822729	9	1
10891	1198429	6.07861230969083	9	1
23245	858680	5.93383134761889	9	1
23261	1014436	6.00622465292323	9	1
57492	984106	5.99304187966683	9	1
63876	315672	5.49923606182639	9	1
389289	147493	5.16877140923952	9	1
1016	2406936	6.38146454261555	8	1
5144	1689839	6.22784532902647	8	1
5789	3386181	6.52971016853969	8	1
9242	356675	5.55227266991434	8	1
9612	397854	5.59972372878944	8	1
9844	642567	5.80791841793833	8	1
23266	2785357	6.4448808667247	8	1
23499	372976	5.57168088702878	8	1
23677	511879	5.70916731284543	8	1
55636	454338	5.65737906193051	8	1
84894	330074	5.5186113162078	8	1
84966	489617	5.68985648854522	8	1
200734	598177	5.77682971032499	8	1
200844	1392596	6.14382514340281	8	1
284058	239669	5.37961186382257	8	1
1729	119256	5.07648023845714	7	1
1879	675823	5.82983296785188	7	1
2072	590793	5.77143534094021	7	1
3720	850389	5.92961763384097	7	1
4091	253066	5.40323380061355	7	1
4781	491847	5.69183002677228	7	1
5101	2737309	6.43732382533129	7	1
5217	268485	5.42892002709627	7	1
6513	149315	5.17410343860247	7	1
6653	472595	5.67448912253567	7	1
6934	548021	5.73879720083725	7	1
8091	426283	5.62969801349769	7	1
8325	760222	5.88094043346013	7	1
8828	770261	5.88663790913788	7	1
9369	1698629	6.23009853434457	7	1
10154	448204	5.65147572808074	7	1
11178	795820	5.90081484933725	7	1
22998	412127	5.6150310677323	7	1
27069	688636	5.83798972268564	7	1
55553	923233	5.96531131949208	7	1
55691	660057	5.81958144117304	7	1
